sku_code,product_name,product_id
WEBMIX000006,"EQUAL Gold 750 Sticks with NATURALS STEVIA 40 sticks , 0 Calorie Sweetener, Keto Diet Sweetener, Low Carb Sweetener, Sugar Substitute, Erythritol Sweetener, Sucralose Sweetener, Sugar Free, Diabetic Friendly, Baking Sugar Alternative",729462059
WEBNAT000038,"NATURALS STEVIA 12 packs x 15 sticks, 100% Natural Zero Calorie Sweetener, Stevia Leaf Extract Sweetener, Erythritol Sweetener, Sugar Substitute, Sugar Free, Diabetic Friendly, Sugar Alternative",729462087
WEBPRV000002,"[with FREE GIFT] Buy 4 boxes of Pure Via Stevia Zero Calorie Sweetener 40 Sticks, get FREE Luminarc Mug",729462093
WEBMIX000002,"EQUAL Gold 50 Sticks with NATURALS STEVIA 200 Tablets, 0 Calorie Sweetener, Keto & Low Carb Diet Friendly Sweetener, Sugar Substitute, Erythritol Sweetener, Sucralose Sweetener, Sugar Free, Diabetic Friendly, Baking Sugar Alternative",729464020
WEBEQC000017,"EQUAL Classic 6 boxes x 100 Sticks, 0 Calorie Sweetener Sticks, Sugar Substitute, Zero Calorie Sugar Alternative, Sugar Free, Diabetic Friendly Sweetener",751112630
WEBEQC000025,"EQUAL Classic 2 packs x 200 tablets, 0 Calorie Sweetener Tablets, Sugar Substitute, Zero Calorie Sugar Alternative, Sugar Free, Diabetic Friendly Sweetener",751112635
WEBEQC000029,"EQUAL Classic 6 packs x 200 tablets, 0 Calorie Sweetener Tablets, Sugar Substitute, Zero Calorie Sugar Alternative, Sugar Free, Diabetic Friendly Sweetener",751112638
WEBEQC000026,"EQUAL Classic 3 packs x 200 tablets, 0 Calorie Sweetener Tablets, Sugar Substitute, Zero Calorie Sugar Alternative, Sugar Free, Diabetic Friendly Sweetener",751114620
WEBEQC000014,"[B2G1] Buy EQUAL Classic 100 Sticks x 2 Boxes, 0 Calorie Sweetener, Get FREE 100 Sticks",751142267
WEBEQC000030,"EQUAL Classic 12 packs x 200 tablets, 0 Calorie Sweetener Tablets, Sugar Substitute, Zero Calorie Sugar Alternative, Sugar Free, Diabetic Friendly Sweetener",751146241
WEBEQC000027,"[B3G1] Buy EQUAL Classic 200 Tablets x 3 packs , 0 Calorie Sweetener, Get FREE 200 Tablets",751148245
WEBEQC000016,"EQUAL Classic 5 boxes x 100 Sticks, 0 Calorie Sweetener Sticks,Sugar Substitute, Zero Calorie Sugar Alternative, Sugar Free, Diabetic Friendly Sweetener",751154094
WEBEQC000013,"[with FREE GIFT] Buy 2 boxes of Equal Classic Zero Calorie Sweetener 100 Sticks, get FREE Luminarc .5L Rondo Jar",751160032
WEBEQC000010,"EQUAL Classic 5 boxes x 50 Sticks, 0 Calorie Sweetener Sticks, Sugar Substitute, Zero Calorie Sugar Alternative, Sugar Free, Diabetic Friendly Sweetener",752160064
WEBEQC000011,"EQUAL Classic 6 boxes x 50 Sticks, 0 Calorie Sweetener Sticks, Sugar Substitute, Zero Calorie Sugar Alternative, Sugar Free, Diabetic Friendly Sweetener",752180967
WEBMIX000007,"EQUAL Gold 50 sticks with NATURALS STEVIA 40 sticks, 0 Calorie Sweetener, Ketogenic Diet (Keto Diet) Friendly Sweetener, Low Carb Sweetener, Sugar Substitute, Erythritol Sucralose Sweetener, Sugar Free, Diabetic Friendly, Baking Sugar Alternative",935664902
7640110709436,"[with FREE GIFT] NATURALS STEVIA 1 pack x 100 tablets, Zero Calorie Sweetener, get FREE 0.5 Rondo Jar",1036868926
